Unnamed: 0,TIME,STEP,STEP_NAME,PARAM_ALIAS,VALUE
60,2023-10-02 11:03:40.700,0,STANDBY,TEMP_PROFILE_2,315.8975677476391
61,2023-10-02 11:03:41.695,0,STANDBY,TEMP_PROFILE_2,315.71676054626255
62,2023-10-02 11:03:42.690,0,STANDBY,TEMP_PROFILE_2,315.64075288981707
63,2023-10-02 11:03:43.685,0,STANDBY,TEMP_PROFILE_2,315.69420004094906
64,2023-10-02 11:03:44.680,0,STANDBY,TEMP_PROFILE_2,315.6805652790552
65,2023-10-02 11:03:45.675,0,STANDBY,TEMP_PROFILE_2,315.5165009650009
66,2023-10-02 11:03:46.670,0,STANDBY,TEMP_PROFILE_2,315.4774900692412
67,2023-10-02 11:03:47.665,0,STANDBY,TEMP_PROFILE_2,315.4869925996027
68,2023-10-02 11:03:48.660,0,STANDBY,TEMP_PROFILE_2,315.4293296685186
69,2023-10-02 11:03:49.655,0,STANDBY,TEMP_PROFILE_2,315.54237901157984
70,2023-10-02 11:03:50.650,0,STANDBY,TEMP_PROFILE_2,315.56848209757396
71,2023-10-02 11:03:51.645,0,STANDBY,TEMP_PROFILE_2,315.2418942788072
72,2023-10-02 11:03:52.640,0,STANDBY,TEMP_PROFILE_2,315.3112074846717
73,2023-10-02 11:03:53.635,0,STANDBY,TEMP_PROFILE_2,315.1675305865041
74,2023-10-02 11:03:54.630,0,STANDBY,TEMP_PROFILE_2,315.39513126291524
75,2023-10-02 11:03:55.625,0,STANDBY,TEMP_PROFILE_2,315.13467558116145
76,2023-10-02 11:03:56.620,0,STANDBY,TEMP_PROFILE_2,315.26591280129156
77,2023-10-02 11:03:57.615,0,STANDBY,TEMP_PROFILE_2,315.28558895375244
78,2023-10-02 11:03:58.610,0,STANDBY,TEMP_PROFILE_2,315.28588053214196
79,2023-10-02 11:03:59.605,0,STANDBY,TEMP_PROFILE_2,314.9421382209754
80,2023-10-02 11:04:00.600,0,STANDBY,TEMP_PROFILE_2,315.02763860013505
81,2023-10-02 11:04:01.595,0,STANDBY,TEMP_PROFILE_2,314.8564238697775
82,2023-10-02 11:04:02.590,0,STANDBY,TEMP_PROFILE_2,314.8984933090962
83,2023-10-02 11:04:03.585,0,STANDBY,TEMP_PROFILE_2,315.0087211245111
84,2023-10-02 11:04:04.580,0,STANDBY,TEMP_PROFILE_2,314.8350496697815
85,2023-10-02 11:04:05.575,0,STANDBY,TEMP_PROFILE_2,314.88699618554796
86,2023-10-02 11:04:06.570,0,STANDBY,TEMP_PROFILE_2,314.71168886041664
87,2023-10-02 11:04:07.565,0,STANDBY,TEMP_PROFILE_2,314.77963570158556
88,2023-10-02 11:04:08.560,0,STANDBY,TEMP_PROFILE_2,314.85901293850185
89,2023-10-02 11:04:09.555,0,STANDBY,TEMP_PROFILE_2,314.6945784201892
90,2023-10-02 11:04:10.550,0,STANDBY,TEMP_PROFILE_2,314.88714756666667
91,2023-10-02 11:04:11.545,0,STANDBY,TEMP_PROFILE_2,314.65810324915003
92,2023-10-02 11:04:12.540,0,STANDBY,TEMP_PROFILE_2,314.6110637770533
93,2023-10-02 11:04:13.535,0,STANDBY,TEMP_PROFILE_2,314.5344234408495
94,2023-10-02 11:04:14.530,0,STANDBY,TEMP_PROFILE_2,314.45579676757905
95,2023-10-02 11:04:15.525,0,STANDBY,TEMP_PROFILE_2,314.571591677956
96,2023-10-02 11:04:16.520,0,STANDBY,TEMP_PROFILE_2,314.56085390417576
97,2023-10-02 11:04:17.515,0,STANDBY,TEMP_PROFILE_2,314.5695942841314
98,2023-10-02 11:04:18.510,0,STANDBY,TEMP_PROFILE_2,314.39814383558746
99,2023-10-02 11:04:19.505,0,STANDBY,TEMP_PROFILE_2,314.29214560153747
100,2023-10-02 11:04:20.500,0,STANDBY,TEMP_PROFILE_2,314.2711381989716
101,2023-10-02 11:04:21.495,0,STANDBY,TEMP_PROFILE_2,314.466429279848
102,2023-10-02 11:04:22.490,0,STANDBY,TEMP_PROFILE_2,314.30145540301663
103,2023-10-02 11:04:23.485,0,STANDBY,TEMP_PROFILE_2,314.24232880541297
104,2023-10-02 11:04:24.480,0,STANDBY,TEMP_PROFILE_2,314.3410380963535
105,2023-10-02 11:04:25.475,0,STANDBY,TEMP_PROFILE_2,314.20250755923445
106,2023-10-02 11:04:26.470,0,STANDBY,TEMP_PROFILE_2,314.19759968351934
107,2023-10-02 11:04:27.465,0,STANDBY,TEMP_PROFILE_2,314.0077406558748
108,2023-10-02 11:04:28.460,0,STANDBY,TEMP_PROFILE_2,314.1149640868589
109,2023-10-02 11:04:29.455,0,STANDBY,TEMP_PROFILE_2,314.1475479071449
110,2023-10-02 11:04:30.450,0,STANDBY,TEMP_PROFILE_2,314.10907941687685
111,2023-10-02 11:04:31.445,0,STANDBY,TEMP_PROFILE_2,314.08386005939377
112,2023-10-02 11:04:32.440,0,STANDBY,TEMP_PROFILE_2,313.88399668498687
113,2023-10-02 11:04:33.435,0,STANDBY,TEMP_PROFILE_2,313.8864613685235
114,2023-10-02 11:04:34.430,0,STANDBY,TEMP_PROFILE_2,313.8843134101092
115,2023-10-02 11:04:35.425,0,STANDBY,TEMP_PROFILE_2,313.80832948430964
116,2023-10-02 11:04:36.420,0,STANDBY,TEMP_PROFILE_2,313.8672014847736
117,2023-10-02 11:04:37.415,0,STANDBY,TEMP_PROFILE_2,313.88232935146175
118,2023-10-02 11:04:38.410,0,STANDBY,TEMP_PROFILE_2,313.8348347070017
119,2023-10-02 11:04:39.405,0,STANDBY,TEMP_PROFILE_2,313.76978525870254
120,2023-10-02 11:04:40.400,0,STANDBY,TEMP_PROFILE_2,313.6101079529432
121,2023-10-02 11:04:41.395,0,STANDBY,TEMP_PROFILE_2,313.57539314365835
122,2023-10-02 11:04:42.390,0,STANDBY,TEMP_PROFILE_2,313.50598674271936
123,2023-10-02 11:04:43.385,0,STANDBY,TEMP_PROFILE_2,313.7033890000267
124,2023-10-02 11:04:44.380,0,STANDBY,TEMP_PROFILE_2,313.609910877179
125,2023-10-02 11:04:45.375,0,STANDBY,TEMP_PROFILE_2,313.41124559247163
126,2023-10-02 11:04:46.370,0,STANDBY,TEMP_PROFILE_2,313.66791884488
127,2023-10-02 11:04:47.365,0,STANDBY,TEMP_PROFILE_2,313.3183192273703
128,2023-10-02 11:04:48.360,0,STANDBY,TEMP_PROFILE_2,313.50058993976756
129,2023-10-02 11:04:49.355,0,STANDBY,TEMP_PROFILE_2,313.50440728410086
130,2023-10-02 11:04:50.350,0,STANDBY,TEMP_PROFILE_2,313.3147140620219
131,2023-10-02 11:04:51.345,0,STANDBY,TEMP_PROFILE_2,313.30986264748634
132,2023-10-02 11:04:52.340,0,STANDBY,TEMP_PROFILE_2,313.37806459935973
133,2023-10-02 11:04:53.335,0,STANDBY,TEMP_PROFILE_2,313.34871194694483
134,2023-10-02 11:04:54.330,0,STANDBY,TEMP_PROFILE_2,313.18338581100556
135,2023-10-02 11:04:55.325,0,STANDBY,TEMP_PROFILE_2,313.1717380774661
136,2023-10-02 11:04:56.320,0,STANDBY,TEMP_PROFILE_2,313.132378799681
137,2023-10-02 11:04:57.315,0,STANDBY,TEMP_PROFILE_2,313.13481109872663
138,2023-10-02 11:04:58.310,0,STANDBY,TEMP_PROFILE_2,313.08534806335155
139,2023-10-02 11:04:59.305,0,STANDBY,TEMP_PROFILE_2,312.9644995046993
140,2023-10-02 11:05:00.300,0,STANDBY,TEMP_PROFILE_2,312.99929557742433
141,2023-10-02 11:05:01.295,0,STANDBY,TEMP_PROFILE_2,313.14868469728003
142,2023-10-02 11:05:02.290,0,STANDBY,TEMP_PROFILE_2,312.92138638131274
143,2023-10-02 11:05:03.285,0,STANDBY,TEMP_PROFILE_2,313.0357967155467
144,2023-10-02 11:05:04.280,0,STANDBY,TEMP_PROFILE_2,312.995109344085
