TIME,GAS_DCS,GAS_F2,GAS_N2_1,GAS_N2_2,GAS_N2_3,GAS_N2_4,GAS_N2_LOADING_AREA,GAS_N2_NR,GAS_NH3,PRESSURE_APC_ANGLE,PRESSURE_VG1,PRESSURE_VG2,TEMP_PROFILE_1,TEMP_PROFILE_2,TEMP_PROFILE_3,TEMP_PROFILE_4,TEMP_PROFILE_5
2023-10-02 11:02:41.000,1.003,0.3,0.997,4.818,0.991,0.0,398.822,0.3,0.99,0.6940308552467243,0.3008465411289556,752.8622719452803,317.1742935249714,317.8440434418423,310.98671455291515,305.6560676198315,303.8729622163769
2023-10-02 11:02:42.000,1.003,0.301,0.997,5.782,0.99,0.0,399.5,0.299,0.99,0.7420855397925717,0.3008465411289556,753.1162246487593,317.07593657341977,317.9160189630401,311.0994110107412,305.8185900804897,303.30997373791945
2023-10-02 11:02:42.990,1.003,0.298,0.998,6.824000000000001,0.993,0.0,399.512,0.299,0.99,0.6456480796785562,0.3008465411289556,753.4943727959186,317.0932053465428,317.7540552119667,310.84779963513625,306.0168872148779,303.7631169939377
2023-10-02 11:02:43.985,1.003,0.301,1.0,7.786,0.993,0.0,398.822,0.3,0.99,0.7858919299220642,0.3008465411289556,753.876533972753,316.97307088573115,317.89196252691534,310.53823443723127,305.3869430627286,303.8246385446034
2023-10-02 11:02:44.980,1.003,0.3,0.995,8.817,0.992,0.0,399.0220000000001,0.301,0.99,0.6095743191826888,0.3008465411289556,754.5019104863027,316.97350941888845,317.63728427973274,310.56104382963844,305.4938177803718,303.3191000059779
2023-10-02 11:02:45.975,1.003,0.301,0.997,9.844,0.991,0.0,399.512,0.299,0.99,0.7426898222753344,0.3008465411289556,755.0401627083338,316.8221041377044,317.65521399795307,310.583829436392,305.7285720723314,303.3925008493732
2023-10-02 11:02:46.970,1.003,0.301,1.002,10.0,0.991,0.0,399.521,0.3,0.99,0.7044270667160557,0.3008465411289556,755.6854056669281,316.88238693115056,317.70610634698926,310.82915039742863,305.5861885000912,303.2819236886588
2023-10-02 11:02:47.965,1.003,0.298,1.001,10.0,0.991,0.0,399.12,0.3,0.99,0.7741592126252159,0.3008465411289556,756.1475929506142,316.7541463524307,317.66606147470486,310.4202738430518,305.21228016566306,303.57492571730404
2023-10-02 11:02:48.960,1.003,0.3,1.0,10.003,0.991,0.0,399.032,0.299,0.124,0.6483812115796115,0.3008465411289556,756.7823483818335,316.7346874929873,317.644955074408,310.62488591233307,305.3167091733794,303.20009219135994
2023-10-02 11:02:49.955,1.003,0.299,1.003,10.002,0.99,0.0,399.12,0.3,0.312,0.7513415129873318,0.3082629235723816,756.9653960926792,316.6165674142915,317.4388890665253,310.82857890880933,305.42851070553235,302.8359907832407
2023-10-02 11:02:50.950,1.004,0.3,1.001,9.989,0.991,0.0,399.609,0.298,0.312,0.736229582647895,0.3048276856810293,757.2125645525745,316.66572176234666,317.5937822766845,310.7470123337382,305.2537517358699,302.88503793588654
2023-10-02 11:02:51.945,0.687,0.298,1.001,10.001,0.99,0.0,397.933,0.299,0.3,0.6508925339570744,0.2882168303625222,757.4416222144137,316.5762145479432,317.3555013818405,310.3259665701028,305.21433934909794,302.8609095603533
2023-10-02 11:02:52.940,0.317,0.299,1.001,9.986,0.992,0.0,399.433,0.299,0.3,0.6353935921868079,0.28506682833107,757.6165131632708,316.529255204391,317.33278823425604,310.32915769532,305.1863483731344,303.5101786200934
2023-10-02 11:02:53.935,0.084,0.301,1.001,9.985,0.992,0.0,398.82,0.3,0.3,0.7145722591059143,0.3014829330088768,757.8307126347902,316.5653927675513,317.4900185298936,310.425057870628,305.86508240469504,303.1554524423001
2023-10-02 11:02:54.930,0.061,0.3,1.002,10.0,0.992,0.0,399.92,0.3,0.3,0.7324968080743753,0.284573477481553,757.9291243761189,316.5155996963853,317.31058347911227,310.36046674824433,305.2443432217404,303.259306815219
2023-10-02 11:02:55.925,0.061,0.299,1.0,10.0,0.992,0.0,398.52,0.3,0.3,0.5052316467975896,0.293646882178845,757.9698881310256,316.409489655892,317.24101624348697,310.586259339798,305.3719793139928,302.8618711498592
2023-10-02 11:02:56.920,0.062,0.3,1.0,9.999,0.992,0.0,399.221,0.301,0.3,0.6796462425833213,0.2862847980510836,758.1239411050723,316.4098592365429,317.3118755921827,310.53985378259057,305.9324275573168,303.2365465917624
2023-10-02 11:02:57.915,0.061,0.301,0.997,10.001,0.991,0.0,399.62,0.301,0.3,0.7978013985431502,0.3087556895352912,758.2074154863134,316.301276002752,317.24817014245576,310.24781850114124,305.76811536203564,303.070736723677
2023-10-02 11:02:58.910,0.061,0.298,1.002,10.001,0.991,0.0,398.62,0.301,0.3,0.6187983028471443,0.3087556895352912,758.2218812481042,316.34894567141293,317.25459650441644,310.222761994811,305.6811715961811,302.97786081024816
2023-10-02 11:02:59.905,0.057,0.3,1.002,10.001,0.99,0.0,399.519,0.3,0.3,0.6267106460121162,0.3087556895352912,758.2910676821589,316.2619459470704,317.1886585892442,310.62926361404703,305.50814127908586,303.04457615259633
2023-10-02 11:03:00.900,0.055,0.3,1.002,9.988,0.991,0.0,399.512,0.3,0.3,0.7480420735827906,0.3087556895352912,758.1190007492979,316.2845970766608,317.1979446183477,310.6363986551526,305.0023815709163,303.21119629827984
2023-10-02 11:03:01.895,0.059,0.3,1.001,10.001,0.992,0.0,399.512,0.3,0.3,0.6794407440158658,0.3087556895352912,758.306000551385,316.10200035862766,317.15501536333306,310.49736972673054,305.75231371345086,302.9222643691359
